team,avg_goal_kick_len,url_logo_espn
Arsenal,57.4,https://a.espncdn.com/i/teamlogos/soccer/500/359.png
Aston Villa,41.8,https://a.espncdn.com/i/teamlogos/soccer/500/362.png
Brentford,47.4,https://a.espncdn.com/i/teamlogos/soccer/500/337.png
Brighton,51.9,https://a.espncdn.com/i/teamlogos/soccer/500/331.png
Burnley,65.6,https://a.espncdn.com/i/teamlogos/soccer/500/379.png
Chelsea,32.2,https://a.espncdn.com/i/teamlogos/soccer/500/363.png
Crystal Palace,36,https://a.espncdn.com/i/teamlogos/soccer/500/384.png
Everton,65.1,https://a.espncdn.com/i/teamlogos/soccer/500/368.png
Leeds United,34,https://a.espncdn.com/i/teamlogos/soccer/500/357.png
Leicester City,45.8,https://a.espncdn.com/i/teamlogos/soccer/500/375.png
Liverpool,36.6,https://a.espncdn.com/i/teamlogos/soccer/500/364.png
Manchester City,32.7,https://a.espncdn.com/i/teamlogos/soccer/500/382.png
Manchester Utd,42.8,https://a.espncdn.com/i/teamlogos/soccer/500/360.png
Newcastle Utd,60.3,https://a.espncdn.com/i/teamlogos/soccer/500/361.png
Norwich City,44,https://a.espncdn.com/i/teamlogos/soccer/500/381.png
Southampton,56.6,https://a.espncdn.com/i/teamlogos/soccer/500/376.png
Tottenham,37.6,https://a.espncdn.com/i/teamlogos/soccer/500/367.png
Watford,58.2,https://a.espncdn.com/i/teamlogos/soccer/500/395.png
West Ham,55.3,https://a.espncdn.com/i/teamlogos/soccer/500/371.png
Wolves,44.5,https://a.espncdn.com/i/teamlogos/soccer/500/380.png
